ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000103995	22995	CEP152	CEP152	613529	O94986	NA
ENSG00000255302	23741	EID1	EID1	605894	Q9Y6B2	NA
ENSG00000138593	9728	SECISBP2L	SECISBP2L	NA	Q93073	NA
ENSG00000166949	4088	SMAD3	SMAD3	603109	P84022	NA
ENSG00000103591	79719	AAGAB	AAGAB	614888	Q6PD74	NA
ENSG00000103599	64799	IQCH	IQCH	612523	Q86VS3	NA
ENSG00000189227	145853	C15orf61	C15orf61	NA	A6NNL5	NA
ENSG00000137764	5607	MAP2K5	MAP2K5	602520	Q13163	DB12010
ENSG00000188779	390598	SKOR1	SKOR1	611273	P84550	NA
ENSG00000136381	3658	IREB2	IREB2	147582	P48200	NA
ENSG00000188266	123688	HYKK	HYKK	614681	A2RU49	NA
ENSG00000268838	NA	AC027228.1	NA	NA	NA	NA
ENSG00000041357	5685	PSMA4	PSMA4	176846	P25789	DB08515
ENSG00000169684	1138	CHRNA5	CHRNA5	118505	P30532	DB00184:DB00674:DB00898
ENSG00000080644	1136	CHRNA3	CHRNA3	118503	P32297	DB00184:DB00472:DB00514:DB00674:DB00848:DB00898:DB00915:DB01090:DB01156:DB01227:DB01273:DB05710:DB07720:DB09028
ENSG00000117971	1143	CHRNB4	CHRNB4	118509	P30926	DB00184:DB00472:DB00514:DB00674:DB00898:DB01090:DB01227:DB07720
ENSG00000136378	11173	ADAMTS7	ADAMTS7	605009	Q9UKP4	NA
ENSG00000070915	6559	SLC12A3	SLC12A3	600968	P55017	DB00436:DB00524:DB00562:DB00808:DB00880:DB00999:DB01021:DB01119:DB01324:DB01325
ENSG00000051108	9709	HERPUD1	HERPUD1	608070	Q15011	NA
ENSG00000087237	1071	CETP	CETP	118470	P11597	DB06281
ENSG00000172775	80011	FAM192A	FAM192A	NA	Q9GZU8	NA
ENSG00000159579	89970	RSPRY1	RSPRY1	NA	Q96DX4	NA
ENSG00000141448	2627	GATA6	GATA6	601656	Q92908	NA
ENSG00000212710	64693	CTAGE1	CTAGE1	608856	Q9HC47	NA
ENSG00000130164	3949	LDLR	LDLR	606945	P01130	DB00707
ENSG00000124116	140686	WFDC3	WFDC3	NA	Q8IUB2	NA
ENSG00000132801	140831	ZSWIM3	ZSWIM3	NA	Q96MP5	NA
ENSG00000064601	5476	CTSA	CTSA	613111	P10619	NA
ENSG00000100979	5360	PLTP	PLTP	172425	P55058	NA
ENSG00000100982	63935	PCIF1	PCIF1	NA	Q9H4Z3	NA
ENSG00000198026	63925	ZNF335	ZNF335	610827	Q9H4Z2	NA
ENSG00000100985	4318	MMP9	MMP9	120361	P14780	DB00143:DB00786:DB01017:DB01197:DB01296:DB01593:DB01949:DB03683:DB05387:DB05495:DB06423:DB07117:DB07246:DB07285:DB14487:DB14533
