Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Curated_gene_sets	WP_CHOLESTEROL_METABOLISM	72	5	1.2778361069297093e-05	0.006831356985421457	SORT1:LPA:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHOLESTEROL_METABOLISM
Curated_gene_sets	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	73	5	1.3673231841490216e-05	0.006831356985421457	LPA:APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE
Curated_gene_sets	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	13	3	1.966994019552397e-05	0.00851708410466188	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS
Curated_gene_sets	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3	13	3	1.966994019552397e-05	0.00851708410466188	CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3
Curated_gene_sets	PID_AMB2_NEUTROPHILS_PATHWAY	39	4	2.10301618967458e-05	0.008536931344960247	LPA:PLG:PLAU:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_AMB2_NEUTROPHILS_PATHWAY
Curated_gene_sets	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	137	6	2.3746044326619672e-05	0.009072385758905576	PLG:MMP3:MMP13:ADAMTS8:FBN1:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX
Curated_gene_sets	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2	16	3	3.816684638321817e-05	0.01377187040327789	CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2
Curated_gene_sets	ROVERSI_GLIOMA_COPY_NUMBER_DN	51	4	6.150578277971297e-05	0.021025266271275565	CDKN2A:HERPUD1:CETP:FAM192A	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ROVERSI_GLIOMA_COPY_NUMBER_DN
Curated_gene_sets	WP_NICOTINE_EFFECT_ON_CHROMAFFIN_CELLS	4	2	0.00010354569216881407	0.03362646353182237	CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NICOTINE_EFFECT_ON_CHROMAFFIN_CELLS
Curated_gene_sets	DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY	24	3	0.0001346526100925819	0.04164612869291997	EPHA5:INHBA:CDKN2A	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY
Curated_gene_sets	ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	64	4	0.0001500619506189319	0.04266661563099819	SUGCT:INHBA:PLAU:FBN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
Curated_gene_sets	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	698	11	0.00015109040177258787	0.04266661563099819	SLC22A1:SLC22A3:LPA:CAMK2G:APOA5:IREB2:PSMA4:SLC12A3:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES
Curated_gene_sets	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	5	2	0.00017210641267980008	0.046576297931470896	SLC22A1:SLC22A3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT
Curated_gene_sets	NABA_MATRISOME_ASSOCIATED	717	11	0.00019087360594432004	0.04817305997118759	LPA:PLG:INHBA:PLAU:MMP3:MMP13:ADAMTS8:FGF9:ADAMTS7:CTSA:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_MATRISOME_ASSOCIATED
Curated_gene_sets	TCGA_GLIOBLASTOMA_COPY_NUMBER_DN	27	3	0.0001928405787915131	0.04817305997118759	PARK2:CDKN2A:CDKN2B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TCGA_GLIOBLASTOMA_COPY_NUMBER_DN
Curated_gene_sets	WP_MATRIX_METALLOPROTEINASES	28	3	0.00021533087648961037	0.04994907295714355	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_MATRIX_METALLOPROTEINASES
Curated_gene_sets	BIOCARTA_G1_PATHWAY	28	3	0.00021533087648961037	0.04994907295714355	CDKN2A:CDKN2B:SMAD3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_G1_PATHWAY
Canonical_Pathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5	15	4	3.766973427480515e-07	0.0006461465903687346	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5
Canonical_Pathways	NABA_ECM_REGULATORS	229	9	4.835376232008874e-07	0.0006461465903687346	LPA:PLG:PLAU:MMP3:MMP13:ADAMTS8:ADAMTS7:CTSA:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_ECM_REGULATORS
Canonical_Pathways	PID_UPA_UPAR_PATHWAY	40	5	6.671962629861648e-07	0.0006461465903687346	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_UPA_UPAR_PATHWAY
Canonical_Pathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1	18	4	8.364357156876823e-07	0.0006461465903687346	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1
Canonical_Pathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4	22	4	1.9742199349224576e-06	0.0012200679197820787	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4
Canonical_Pathways	WP_BURN_WOUND_HEALING	97	6	3.2599264803874966e-06	0.0016788621373995608	INHBA:MMP3:MMP13:FBN1:SMAD3:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_BURN_WOUND_HEALING
Canonical_Pathways	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	9	3	5.847509450167327e-06	0.002421358112994707	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS
Canonical_Pathways	WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION	29	4	6.268888318432899e-06	0.002421358112994707	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION
Canonical_Pathways	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	10	3	8.328348988562431e-06	0.0028593998194064345	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS
Canonical_Pathways	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	32	4	9.40123310204025e-06	0.0029049810285304367	PLG:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES
Canonical_Pathways	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	33	4	1.0663993002449235e-05	0.0029956125797789214	LPA:APOA5:CETP:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_REMODELING
Canonical_Pathways	WP_CHOLESTEROL_METABOLISM	72	5	1.2778361069297093e-05	0.003250022030015751	SORT1:LPA:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHOLESTEROL_METABOLISM
Canonical_Pathways	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	73	5	1.3673231841490216e-05	0.003250022030015751	LPA:APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE
Canonical_Pathways	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	13	3	1.966994019552397e-05	0.004052007680277938	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS
Canonical_Pathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3	13	3	1.966994019552397e-05	0.004052007680277938	CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3
Canonical_Pathways	PID_AMB2_NEUTROPHILS_PATHWAY	39	4	2.10301618967458e-05	0.0040614500163090326	LPA:PLG:PLAU:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_AMB2_NEUTROPHILS_PATHWAY
Canonical_Pathways	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	137	6	2.3746044326619672e-05	0.004316192762897341	PLG:MMP3:MMP13:ADAMTS8:FBN1:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX
Canonical_Pathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2	16	3	3.816684638321817e-05	0.0065519752957857854	CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2
Canonical_Pathways	WP_NICOTINE_EFFECT_ON_CHROMAFFIN_CELLS	4	2	0.00010354569216881407	0.016839799410612394	CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NICOTINE_EFFECT_ON_CHROMAFFIN_CELLS
Canonical_Pathways	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	698	11	0.00015109040177258787	0.023343467073864827	SLC22A1:SLC22A3:LPA:CAMK2G:APOA5:IREB2:PSMA4:SLC12A3:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES
Canonical_Pathways	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	5	2	0.00017210641267980008	0.025324229294313442	SLC22A1:SLC22A3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT
Canonical_Pathways	NABA_MATRISOME_ASSOCIATED	717	11	0.00019087360594432004	0.026809065562179494	LPA:PLG:INHBA:PLAU:MMP3:MMP13:ADAMTS8:FGF9:ADAMTS7:CTSA:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NABA_MATRISOME_ASSOCIATED
Canonical_Pathways	BIOCARTA_G1_PATHWAY	28	3	0.00021533087648961037	0.027723850348037336	CDKN2A:CDKN2B:SMAD3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_G1_PATHWAY
Canonical_Pathways	WP_MATRIX_METALLOPROTEINASES	28	3	0.00021533087648961037	0.027723850348037336	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_MATRIX_METALLOPROTEINASES
Canonical_Pathways	REACTOME_LDL_REMODELING	6	2	0.00025745713760301763	0.031821702207732984	LPA:CETP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_LDL_REMODELING
Canonical_Pathways	REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS	7	2	0.0003594594911395524	0.042720377985431414	CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS
Reactome	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	9	3	5.847509450167327e-06	0.004409561106512759	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS
Reactome	REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	10	3	8.328348988562431e-06	0.004409561106512759	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS
Reactome	REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	32	4	9.40123310204025e-06	0.004409561106512759	PLG:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES
Reactome	REACTOME_PLASMA_LIPOPROTEIN_REMODELING	33	4	1.0663993002449235e-05	0.004409561106512759	LPA:APOA5:CETP:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_REMODELING
Reactome	REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	73	5	1.3673231841490216e-05	0.004523105093164963	LPA:APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE
Reactome	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	13	3	1.966994019552397e-05	0.005422346847232774	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS
Reactome	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	137	6	2.3746044326619672e-05	0.005610851045175562	PLG:MMP3:MMP13:ADAMTS8:FBN1:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX
Reactome	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	698	11	0.00015109040177258787	0.031237940566482544	SLC22A1:SLC22A3:LPA:CAMK2G:APOA5:IREB2:PSMA4:SLC12A3:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES
Reactome	REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	5	2	0.00017210641267980008	0.031629334063598816	SLC22A1:SLC22A3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT
Reactome	REACTOME_LDL_REMODELING	6	2	0.00025745713760301763	0.04258341055953912	LPA:CETP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_LDL_REMODELING
TF_targets	MSX2_TARGET_GENES	16	3	3.816684638321817e-05	0.04255603371728826	AAGAB:IQCH:ZNF335	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MSX2_TARGET_GENES
GO_mf	GOMF_SERINE_HYDROLASE_ACTIVITY	181	7	1.084100901822231e-05	0.019210267980289932	LPA:PLG:PLAU:MMP3:MMP13:CTSA:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_SERINE_HYDROLASE_ACTIVITY
GO_mf	GOMF_ACETYLCHOLINE_GATED_MONOATOMIC_CATION_SELECTIVE_CHANNEL_ACTIVITY	16	3	3.816684638321817e-05	0.0335864958289626	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ACETYLCHOLINE_GATED_MONOATOMIC_CATION_SELECTIVE_CHANNEL_ACTIVITY
GO_mf	GOMF_QUATERNARY_AMMONIUM_GROUP_BINDING	50	4	5.6862013254451355e-05	0.0335864958289626	APOA5:CHRNA3:CETP:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_QUATERNARY_AMMONIUM_GROUP_BINDING
GO_mf	GOMF_ACETYLCHOLINE_RECEPTOR_ACTIVITY	20	3	7.676343540769758e-05	0.03400620188561003	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ACETYLCHOLINE_RECEPTOR_ACTIVITY
GO_mf	GOMF_METALLOENDOPEPTIDASE_ACTIVITY	117	5	0.00013213667650105638	0.04682923815197438	MMP3:MMP13:ADAMTS8:ADAMTS7:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_METALLOENDOPEPTIDASE_ACTIVITY
GO_bp	GOBP_BEHAVIORAL_RESPONSE_TO_NICOTINE	8	3	3.910153989894542e-06	0.0303076035756726	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BEHAVIORAL_RESPONSE_TO_NICOTINE
Wikipathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5	15	4	3.766973427480515e-07	0.00027611915223432174	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5
Wikipathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1	18	4	8.364357156876823e-07	0.00030655368979953557	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1
Wikipathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4	22	4	1.9742199349224576e-06	0.0004823677374327205	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_4
Wikipathways	WP_BURN_WOUND_HEALING	97	6	3.2599264803874966e-06	0.0005973815275310088	INHBA:MMP3:MMP13:FBN1:SMAD3:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_BURN_WOUND_HEALING
Wikipathways	WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION	29	4	6.268888318432899e-06	0.0009190190274822629	APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION
Wikipathways	WP_CHOLESTEROL_METABOLISM	72	5	1.2778361069297093e-05	0.0015610897772991284	SORT1:LPA:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHOLESTEROL_METABOLISM
Wikipathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3	13	3	1.966994019552397e-05	0.00205972373761701	CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3
Wikipathways	WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2	16	3	3.816684638321817e-05	0.0034970372998623647	CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2
Wikipathways	WP_NICOTINE_EFFECT_ON_CHROMAFFIN_CELLS	4	2	0.00010354569216881407	0.008433221373304524	CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NICOTINE_EFFECT_ON_CHROMAFFIN_CELLS
Wikipathways	WP_MATRIX_METALLOPROTEINASES	28	3	0.00021533087648961037	0.015783753246688438	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_MATRIX_METALLOPROTEINASES
Wikipathways	WP_LIPID_PARTICLES_COMPOSITION	10	2	0.00076400512935841	0.04735974486946626	CETP:LDLR	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_LIPID_PARTICLES_COMPOSITION
Wikipathways	WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	43	3	0.0007753300660758459	0.04735974486946626	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION
Computational_gene_sets	MODULE_211	11	3	1.1416890817495407e-05	0.005815562488485594	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_211
Computational_gene_sets	MODULE_107	74	5	1.4616249816766024e-05	0.005815562488485594	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_107
Computational_gene_sets	MODULE_280	41	4	2.5728965759938687e-05	0.005815562488485594	MMP3:MMP13:ZNF259:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_280
Computational_gene_sets	MODULE_209	84	5	2.7112179433499272e-05	0.005815562488485594	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_209
Computational_gene_sets	MODULE_172	91	5	3.9918719284203874e-05	0.0068500522291693846	PLG:PLAU:MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_172
Computational_gene_sets	MODULE_562	19	3	6.544631274238776e-05	0.00935882272216145	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_562
Computational_gene_sets	MODULE_210	26	3	0.00017193181972209267	0.0200602467703021	MMP3:MMP13:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_210
Computational_gene_sets	MODULE_324	126	5	0.0001870419279282247	0.0200602467703021	MMP3:MMP13:FBN1:LDLR:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_324
GO_cc	GOCC_PROTEIN_LIPID_COMPLEX	37	5	4.46341847405102e-07	0.00045035892403174797	LPA:APOA5:CETP:LDLR:PLTP	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_PROTEIN_LIPID_COMPLEX
GO_cc	GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	15	3	3.110443759317978e-05	0.015692188765759202	CHRNA5:CHRNA3:CHRNB4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX
Hallmark_gene_sets	HALLMARK_COAGULATION	133	5	0.00024060677179915386	0.012030338589957694	PLG:PLAU:MMP3:FBN1:MMP9	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION
Oncogenic_signatures	KRAS.DF.V1_UP	186	7	1.2943256091179837e-05	0.0024462754012329895	SUGCT:INHBA:MTAP:CDKN2B:PLAU:CHRNA5:GATA6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KRAS.DF.V1_UP
