# MEAN_SAMPLE_SIZE = 103764
# TOTAL_GENES = 19275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
AMUNDSON_RESPONSE_TO_ARSENITE            SET     204     0.023482     0.002403     0.058161       0.3432 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      61      0.30555     0.017162      0.10545    0.0018824 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61   -0.0081881  -0.00045991     0.091637       0.5356 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     171    -0.017735    -0.001663     0.062125      0.61236 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      73      0.13728    0.0084325     0.095393     0.075072 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      34      0.03537    0.0014842      0.12579      0.38928 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31    -0.023811  -0.00095416       0.1324      0.57136 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49     0.079571    0.0040069      0.10869      0.23206 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     -0.21999   -0.0097584       0.1287      0.95629 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      45    -0.019307  -0.00093179      0.12151      0.56312 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40      0.30439     0.013852      0.12414    0.0071073 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53    -0.071414   -0.0037397      0.10815      0.74547 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     151      0.06945     0.006123     0.065159      0.14325 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45     0.077862    0.0037578      0.12141      0.26067 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET      11    -0.021537  -0.00051436      0.21074       0.5407 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48    -0.067754    -0.003377      0.11359      0.72457 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18      0.17874    0.0054597      0.20078      0.18668 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116     0.050885    0.0039357     0.073414      0.24412 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23      0.20776    0.0071726      0.16192     0.099741 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46     -0.10857   -0.0052976      0.12276      0.81175 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23      -0.3976    -0.013727      0.15172      0.99561 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     409      0.10086     0.014535     0.040423     0.006302 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      83    -0.041978   -0.0027487     0.085173      0.68894 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29       0.0718     0.002783      0.13641      0.29932 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      65     -0.02523   -0.0014627      0.10246      0.59725 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3      0.41905    0.0052277      0.42482      0.16197 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10    -0.032226  -0.00073384      0.23301        0.555 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.21482    0.0040931      0.35509       0.2726 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14    0.0050437   0.00013588      0.21959      0.49084 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     164    0.0046449   0.00042663     0.060735      0.46952 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51      0.20674     0.010621      0.11133     0.031663 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      38      0.12206    0.0054144      0.13065       0.1751 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      0.17135    0.0044486      0.20195      0.19809 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      31     -0.17883   -0.0071663      0.13439      0.90834 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8     -0.28375   -0.0057797      0.20537      0.91645 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     152      0.02302    0.0020362     0.064574      0.36074 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18    -0.095094   -0.0029047      0.16456      0.71832 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.11218    0.0024236      0.26803      0.33777 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12     -0.14405   -0.0035932       0.2045       0.7594 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30     0.008798   0.00034683      0.13654      0.47431 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     -0.11477   -0.0035057      0.17717      0.74144 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     0.040635    0.0010948      0.18185      0.41159 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18    -0.025147  -0.00076814      0.19882      0.55032 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54     -0.22273    -0.011773      0.10736      0.98099 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23     -0.16938   -0.0058477      0.16403      0.84911 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      29      0.23543    0.0091255       0.1441     0.051162 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     0.044721    0.0017921      0.14262      0.37693 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      0.47635     0.010847      0.27947     0.044157 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15     -0.15913   -0.0044375      0.18008      0.81155 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15      0.10128    0.0028244      0.18889      0.29592 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39      -0.1349   -0.0060622      0.12507      0.85962 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     367    -0.016998    -0.002323     0.041784      0.65792 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     274     0.088383     0.010463     0.046331     0.028226 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     137    0.0082115   0.00068984     0.067138      0.45133 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      70     0.042298    0.0025444     0.097458      0.33214 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98    -0.008879  -0.00063152     0.082634      0.54278 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5     -0.11722   -0.0018878      0.37982      0.62119 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      76    -0.041127   -0.0025775     0.086404      0.68295 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11    -0.051127   -0.0012211      0.24567      0.58243 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31    -0.055678   -0.0022312      0.13536      0.65958 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51     -0.11158   -0.0057322      0.11747      0.82891 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      53   -0.0042263  -0.00022132      0.10619      0.51587 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7     -0.26242       -0.005      0.32295      0.79176 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45    -0.043621   -0.0021053      0.13097      0.63045 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54     -0.12093   -0.0063921      0.12105      0.84109 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64   -0.0090197  -0.00051889      0.10064      0.53571 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37      0.14862    0.0065054      0.13268      0.13133 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47    -0.065308   -0.0032211      0.11416      0.71636 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      29    -0.078087   -0.0030267      0.14629      0.70326 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     620     0.024594    0.0043396     0.031257      0.21569 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     955   -0.0084913   -0.0018427     0.028501      0.61712 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     349    -0.024061   -0.0032083     0.042411      0.71475 BENPORATH_ES_1
BENPORATH_ES_2                           SET      34    -0.066603   -0.0027949      0.11829       0.7133 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8      0.24204      0.00493      0.30212      0.21154 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96     0.034416    0.0024229     0.080063      0.33365 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1038     0.022718    0.0051281     0.027381      0.20336 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     727     0.018992    0.0036182     0.028767      0.25457 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     210     0.049457    0.0051342     0.054088      0.18027 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     942    0.0058924    0.0012704     0.027138      0.41406 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     173      0.10481     0.009885     0.061929     0.045294 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     276     0.060837    0.0072278     0.048087      0.10292 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     599    0.0073775    0.0012802     0.036365      0.41962 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     144     0.075591    0.0065094     0.066992      0.12959 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     705     0.016123    0.0030267     0.031207       0.3027 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     917    -0.007137   -0.0015192     0.029489      0.59562 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48  -0.00096259  -4.7977e-05      0.11814      0.50325 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28       0.3563      0.01357      0.15052    0.0089701 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     379     0.081998     0.011385     0.040473     0.021391 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28      0.25696    0.0097869      0.16041     0.054596 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20   -0.0020436  -6.5796e-05      0.18947       0.5043 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28     0.066171    0.0025203      0.15465      0.33437 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8    -0.090046   -0.0018341      0.29135      0.62136 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     524     0.020963    0.0034091     0.033687      0.26688 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.60398   -0.0087001      0.37257      0.94749 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56     -0.10754   -0.0057883      0.10783      0.84069 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36      0.14913    0.0064393       0.1316      0.12857 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43      -0.0431   -0.0020335      0.11802      0.64251 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      24     0.039883    0.0014065      0.16219      0.40288 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     163     0.038446    0.0035206     0.064834       0.2766 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     186   -0.0095628  -0.00093486     0.059859      0.56346 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     117   -0.0044722  -0.00034738     0.071265      0.52502 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     111    0.0044743   0.00033857     0.076257      0.47661 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      78     -0.02545   -0.0016157     0.086687      0.61546 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      87     -0.02465   -0.0016524     0.091693      0.60597 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     204     0.003345   0.00034231     0.056013      0.47619 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
BHAT_ESR1_TARGETS_VIA_AKT1_DN            SET      82    -0.031172   -0.0020289     0.093599      0.63044 BHAT_ESR1_TARGETS_VIA_AKT1_DN
BHAT_ESR1_TARGETS_VIA_AKT1_UP            SET     274     0.057148    0.0067652     0.048111      0.11746 BHAT_ESR1_TARGETS_VIA_AKT1_UP
BIDUS_METASTASIS_DN                      SET     142      0.16362     0.013992      0.06332    0.0048862 BIDUS_METASTASIS_DN
