ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000175003	SLC22A1	6	160542821	160579750	1	protein_coding	6580	SLC22A1	1.23977716739769e-13	-0.158083671	0	0	0	NA	NA	NA	NA	Yes	Aorta	2.111e-05	rs186696265	6
ENSG00000146477	SLC22A3	6	160769300	160876014	1	protein_coding	6581	SLC22A3	3.31638540911901e-05	0.310629054	2	11.1	0	NA	NA	NA	NA	No	NA	2.111e-05	rs186696265	6
ENSG00000198670	LPA	6	160952515	161087407	-1	protein_coding	4018	LPA	2.4422277924849e-32	0.042144435	8	16.7	0	NA	NA	NA	NA	No	NA	2.496e-18	rs186696265;rs10455872;rs56393506	6
ENSG00000122194	PLG	6	161123270	161174347	1	protein_coding	5340	PLG	0.00243511733948206	0.479258267	1	0.699	0	NA	NA	NA	NA	No	NA	8.965e-07	rs10455872	6
ENSG00000026652	AGPAT4	6	161551011	161695093	-1	protein_coding	56895	AGPAT4	0.674499951839515	0.748253089	2	2.36	0	NA	NA	NA	NA	No	NA	5.681e-05	rs143843429	6
ENSG00000185345	PARK2	6	161768452	163148803	-1	protein_coding	5071	PARK2	0.0218088318211922	0.549835313	0	0	0	NA	NA	NA	NA	Yes	Aorta	2.479e-10	rs143843429	6
ENSG00000112530	PACRG	6	163148164	163736524	1	protein_coding	135138	PACRG	0.000104676937493315	0.454746473	0	0	0	NA	NA	NA	NA	Yes	Aorta	2.479e-10	rs143843429	6
ENSG00000175600	SUGCT	7	40174575	40900362	1	protein_coding	79783	SUGCT	2.03063092087898e-09	-0.032630908	65	20.5	55	9.94111e-23	9.07082e-18	GTEx/v8/Artery_Aorta	NA	No	NA	4.548e-10	rs12532479	7
ENSG00000122641	INHBA	7	41724712	41742706	-1	protein_coding	3624	INHBA	0.556279739729954	-2.818579206	0	0	0	NA	NA	NA	NA	Yes	Aorta	5.681e-10	rs12532479	7
ENSG00000099810	MTAP	9	21802542	21931646	1	protein_coding	4507	MTAP	0.000179316285483304	1.589224827	0	0	0	NA	NA	NA	NA	Yes	Aorta	3.587e-32	rs10811650:rs28557075:rs10757279;rs10811650:rs10965227:rs10757279	9
ENSG00000264545	RP11-145E5.5	9	21802635	22032985	1	protein_coding	NA	NA	NA	NA	15	12.63	0	NA	NA	NA	NA	Yes	Aorta	3.587e-32	rs28557075;rs10811650;rs10811650:rs28557075:rs10757279;rs10811650:rs10965227:rs10757279	9
ENSG00000224854	C9orf53	9	21967137	21967738	1	protein_coding	NA	C9orf53	NA	NA	4	12.63	0	NA	NA	NA	NA	No	NA	8.966e-07	rs28557075	9
ENSG00000147889	CDKN2A	9	21967751	21995300	-1	protein_coding	1029	CDKN2A	0.357648776382819	-0.259234065	8	12.63	0	NA	NA	NA	NA	No	NA	1.825e-10	rs28557075;rs10811650	9
ENSG00000147883	CDKN2B	9	22002902	22009362	-1	protein_coding	1030	CDKN2B	0.281057556695991	-1.806188464	6	6.938	0	NA	NA	NA	NA	No	NA	7.406e-11	rs10811650;rs28557075	9
ENSG00000176986	SEC24C	10	75504120	75531919	1	protein_coding	9632	SEC24C	0.999992339582229	-0.699069208	12	13.82	0	NA	NA	NA	NA	No	NA	1.263e-06	rs2459449	10
ENSG00000267964	AC022400.2	10	75531935	75532378	-1	protein_coding	NA	NA	NA	NA	4	11.82	0	NA	NA	NA	NA	No	NA	3.626e-06	rs2459449	10
ENSG00000196968	FUT11	10	75532049	75540009	1	protein_coding	170384	FUT11	1.25546506236405e-05	-0.448154642	4	11.82	12	0.000115334	2.58059e-05	GTEx/v8/Artery_Aorta	NA	No	NA	1.263e-06	rs2459449	10
ENSG00000172586	CHCHD1	10	75541805	75543410	1	protein_coding	118487	CHCHD1	0.10383118057353	-0.58406775	2	4.953	0	NA	NA	NA	NA	No	NA	4.182e-06	rs2459449	10
ENSG00000214655	ZSWIM8	10	75545340	75561551	1	protein_coding	23053	ZSWIM8	0.999999920857054	NA	5	14.25	21	1.25996e-05	0.00966746	GTEx/v8/Artery_Aorta	NA	No	NA	1.263e-06	rs2459449	10
ENSG00000272916	RP11-574K11.31	10	75556272	75571409	-1	protein_coding	8509	NA	NA	NA	5	14.25	0	NA	NA	NA	NA	No	NA	3.924e-06	rs2459449	10
ENSG00000166507	NDST2	10	75561669	75571589	-1	protein_coding	8509	NDST2	0.052949614092355	-0.024336939	5	14.25	0	NA	NA	NA	NA	No	NA	3.924e-06	rs2459449	10
ENSG00000148660	CAMK2G	10	75572259	75634343	-1	protein_coding	818	CAMK2G	0.994506145969444	-0.708644203	12	11.86	0	NA	NA	NA	NA	No	NA	1.096e-07	rs2459449	10
ENSG00000122861	PLAU	10	75668935	75677255	1	protein_coding	5328	PLAU	0.00055026957460409	-0.421669329	12	12.1	0	NA	NA	NA	NA	No	NA	6.783e-11	rs2459449	10
ENSG00000222047	C10orf55	10	75669727	75682535	-1	protein_coding	414236	C10orf55	0.00506563580969443	0.12316183	13	12.1	0	NA	NA	NA	NA	No	NA	6.783e-11	rs2459449	10
ENSG00000185009	AP3M1	10	75881524	75910821	-1	protein_coding	26985	AP3M1	0.768617879575058	-1.172500939	0	0	0	NA	NA	NA	NA	Yes	Aorta	1.096e-07	rs2459449	10
ENSG00000156110	ADK	10	75910960	76469061	1	protein_coding	132	ADK	0.322841314242593	-0.083373528	0	0	0	NA	NA	NA	NA	Yes	Aorta	1.096e-07	rs2459449	10
ENSG00000176273	SLC35G1	10	95653730	95715819	1	protein_coding	159371	SLC35G1	0.917135938028142	-0.68831192	0	0	0	NA	NA	NA	NA	Yes	Aorta	4.065e-09	rs35247409:rs7084339:rs7084339;rs35247409	11
ENSG00000138193	PLCE1	10	95753746	96092580	1	protein_coding	51196	PLCE1	0.204555596267865	NA	74	19.2	0	NA	NA	NA	NA	Yes	Aorta	4.065e-09	rs7084339;rs35247409;rs35247409:rs7084339:rs7084339	11
ENSG00000173145	NOC3L	10	96075004	96122716	-1	protein_coding	64318	NOC3L	1.14013419227493e-06	1.122626106	83	17.48	103	1.74594e-12	1.86975e-08	GTEx/v8/Artery_Aorta	NA	No	NA	4.065e-09	rs7084339;rs35247409	11
ENSG00000108239	TBC1D12	10	96162261	96295687	1	protein_coding	23232	TBC1D12	0.00264365020875562	0.292901819	0	0	0	NA	NA	NA	NA	Yes	Aorta	4.065e-09	rs35247409:rs7084339:rs7084339;rs35247409	11
ENSG00000119969	HELLS	10	96305547	96373662	1	protein_coding	3070	HELLS	0.999418431126719	0.065854322	0	0	0	NA	NA	NA	NA	Yes	Aorta	4.065e-09	rs35247409:rs7084339:rs7084339;rs35247409	11
ENSG00000173124	C10orf129	10	96953957	96988685	1	protein_coding	142827	C10orf129	0.0112101925841759	-0.050977718	0	0	2	0.000194402	1.37591e-11	GTEx/v8/Artery_Aorta	NA	No	NA	0.001144	rs35247409	11
ENSG00000149968	MMP3	11	102706532	102714534	-1	protein_coding	4314	MMP3	3.50440404382942e-08	0.141445964	9	8.555	0	NA	NA	NA	NA	No	NA	5.315e-08	rs608194;rs17368890	12
ENSG00000137745	MMP13	11	102813724	102826463	-1	protein_coding	4322	MMP13	2.16777707829054e-05	-0.281153735	0	0	0	NA	NA	NA	NA	Yes	Aorta	4.868e-09	rs608194:rs17368890:rs17368890;rs608194	12
ENSG00000137656	BUD13	11	116618886	116643704	-1	protein_coding	84811	BUD13	0.00229542848916745	NA	11	7.159	0	NA	NA	NA	NA	No	NA	4.531e-11	rs662799;rs964184	14
ENSG00000109917	ZNF259	11	116648436	116658766	-1	protein_coding	8882	ZNF259	0.0193034953229086	0.002394641	14	8.758	0	NA	NA	NA	NA	No	NA	4.531e-11	rs662799;rs964184	14
ENSG00000110243	APOA5	11	116660083	116663136	-1	protein_coding	116519	APOA5	1.37735073361006e-06	0.423730278	10	8.758	0	NA	NA	NA	NA	No	NA	2.1e-09	rs662799;rs964184	14
ENSG00000160584	SIK3	11	116714118	116969153	-1	protein_coding	23387	SIK3	0.999882540750175	0.278236341	0	0	0	NA	NA	NA	NA	Yes	Aorta	4.531e-11	rs662799:rs964184	14
ENSG00000134917	ADAMTS8	11	130274820	130298888	-1	protein_coding	11095	ADAMTS8	1.0556522196896e-08	-0.530041347	16	16.91	10	1.2063e-07	0.000557214	GTEx/v8/Artery_Aorta	NA	No	NA	1.925e-11	rs4936099;rs2291347	15
ENSG00000102678	FGF9	13	22245522	22278637	1	protein_coding	2254	FGF9	0.910715910113492	-0.652471243	0	0	1	3.68543e-06	0.00938645	GTEx/v8/Artery_Aorta	NA	No	NA	1.239e-07	rs9316871	16
ENSG00000166147	FBN1	15	48700503	48938046	-1	protein_coding	2200	FBN1	1	0.213405732	164	18.62	0	NA	NA	NA	NA	Yes	Aorta	2.3e-09	rs79973522;rs4775762;rs7166445;rs4775762:rs79973522:rs7166445	17
ENSG00000103995	CEP152	15	49005125	49103343	-1	protein_coding	22995	CEP152	4.42004196778011e-21	0.39517898	0	0	0	NA	NA	NA	NA	Yes	Aorta	1.78e-09	rs79973522:rs4775762:rs7166445;rs4775762:rs7166445	17
ENSG00000255302	EID1	15	49170083	49172380	1	protein_coding	23741	EID1	0.64535520974644	-1.033110126	0	0	0	NA	NA	NA	NA	Yes	Aorta	3.066e-09	rs4775762:rs79973522:rs7166445;rs4775762	17
ENSG00000138593	SECISBP2L	15	49280673	49338760	-1	protein_coding	9728	SECISBP2L	0.10171305162342	-0.941287298	0	0	0	NA	NA	NA	NA	Yes	Aorta	3.066e-09	rs4775762:rs79973522:rs7166445;rs4775762	17
ENSG00000166949	SMAD3	15	67356101	67487533	1	protein_coding	4088	SMAD3	0.868268313208796	-0.091610054	10	9.136	0	NA	NA	NA	NA	Yes	Aorta	3.86e-08	rs1050285	18
ENSG00000103591	AAGAB	15	67493371	67547533	-1	protein_coding	79719	AAGAB	0.00810207313151983	0.196795346	28	16.1	0	NA	NA	NA	NA	No	NA	3.86e-08	rs1050285	18
ENSG00000103599	IQCH	15	67547138	67794598	1	protein_coding	64799	IQCH	2.69347323550457e-12	-1.053148261	70	20.8	87	1.76989e-10	1.14676e-06	GTEx/v8/Artery_Aorta	NA	No	NA	3.86e-08	rs1050285	18
ENSG00000189227	C15orf61	15	67813406	67819628	1	protein_coding	145853	C15orf61	NA	-0.166715843	0	0	8	1.01586e-05	0.000210604	GTEx/v8/Artery_Aorta	NA	No	NA	3.767e-07	rs1050285	18
ENSG00000137764	MAP2K5	15	67835047	68099461	1	protein_coding	5607	MAP2K5	0.475918460790794	NA	0	0	1	4.81308e-05	4.41761e-15	GTEx/v8/Artery_Aorta	NA	No	NA	0.02714	rs1050285	18
ENSG00000188779	SKOR1	15	68112042	68126899	1	protein_coding	390598	SKOR1	NA	-0.128486491	0	0	74	3.64516e-06	3.86069e-11	GTEx/v8/Artery_Aorta	NA	No	NA	3.86e-08	rs1050285	18
ENSG00000136381	IREB2	15	78729773	78793798	1	protein_coding	3658	IREB2	0.999999730362402	0.131406258	36	9.944	0	NA	NA	NA	NA	No	NA	1.256e-12	rs112878080;rs72736802;rs12440014	19
ENSG00000188266	HYKK	15	78799906	78829714	1	protein_coding	123688	HYKK	0.000214856084289355	-0.450544025	33	11.67	0	NA	NA	NA	NA	No	NA	6.267e-14	rs112878080;rs72736802;rs12440014	19
ENSG00000268838	AC027228.1	15	78830023	78831288	1	protein_coding	NA	NA	NA	NA	16	8.757	0	NA	NA	NA	NA	No	NA	6.594e-14	rs12440014;rs112878080;rs72736802	19
ENSG00000041357	PSMA4	15	78832747	78841604	1	protein_coding	5685	PSMA4	0.620423590120457	0.678454526	20	8.757	65	5.35362e-07	4.89014e-08	GTEx/v8/Artery_Aorta	NA	No	NA	1.61e-15	rs12440014;rs112878080;rs72736802	19
ENSG00000169684	CHRNA5	15	78857862	78887611	1	protein_coding	1138	CHRNA5	2.40946932670794e-06	0.42114192	50	14.97	10	2.76278e-05	2.62598e-10	GTEx/v8/Artery_Aorta	NA	No	NA	2.036e-15	rs112878080;rs72736802;rs12440014	19
ENSG00000080644	CHRNA3	15	78885394	78913637	-1	protein_coding	1136	CHRNA3	0.00706163755884019	0.011573306	63	15.25	0	NA	NA	NA	NA	No	NA	1.61e-15	rs12440014;rs112878080	19
ENSG00000117971	CHRNB4	15	78916461	79020096	-1	protein_coding	1143	CHRNB4	0.0186266094522454	-0.17732684	44	15.25	0	NA	NA	NA	NA	No	NA	4.118e-14	rs12440014;rs112878080;rs12441088	19
ENSG00000136378	ADAMTS7	15	79051545	79103773	-1	protein_coding	11173	ADAMTS7	2.98948787387487e-07	NA	0	0	1	8.5644e-05	1.39458e-17	GTEx/v8/Artery_Aorta	NA	No	NA	8.135e-10	rs112878080	19
ENSG00000070915	SLC12A3	16	56899119	56949762	1	protein_coding	6559	SLC12A3	5.54410952233344e-18	1.058293826	0	0	0	NA	NA	NA	NA	Yes	Aorta	2.209e-08	rs9989419:rs72786786:rs1864163	20
ENSG00000051108	HERPUD1	16	56965960	56977798	1	protein_coding	9709	HERPUD1	0.82104286595303	-0.272869343	6	6.618	0	NA	NA	NA	NA	No	NA	2.209e-08	rs9989419;rs72786786	20
ENSG00000087237	CETP	16	56995762	57017757	1	protein_coding	1071	CETP	5.18056762742226e-12	0.043908821	22	5.699	9	7.89835e-06	0.0184404	GTEx/v8/Artery_Aorta	NA	No	NA	2.575e-08	rs72786786;rs1864163	20
ENSG00000172775	FAM192A	16	57186378	57220028	-1	protein_coding	80011	FAM192A	0.944099351189242	-0.529181943	0	0	0	NA	NA	NA	NA	Yes	Aorta	2.209e-08	rs9989419:rs72786786:rs1864163	20
ENSG00000159579	RSPRY1	16	57220049	57274387	1	protein_coding	89970	RSPRY1	0.999778005187676	-0.337763107	0	0	0	NA	NA	NA	NA	Yes	Aorta	2.209e-08	rs9989419:rs72786786:rs1864163	20
ENSG00000141448	GATA6	18	19749404	19782491	1	protein_coding	2627	GATA6	NA	-1.284431187	0	0	0	NA	NA	NA	NA	Yes	Aorta	1.054e-10	rs73405069:rs201021392:rs35561761	21
ENSG00000212710	CTAGE1	18	19993564	19997878	-1	protein_coding	64693	CTAGE1	2.09542255826793e-06	-0.250959609	0	0	0	NA	NA	NA	NA	Yes	Aorta	1.054e-10	rs73405069:rs201021392:rs35561761	21
ENSG00000130164	LDLR	19	11200038	11244492	1	protein_coding	3949	LDLR	2.59266073718312e-16	0.415051182	45	13.85	0	NA	NA	NA	NA	No	NA	6.108e-09	rs6511720	22
ENSG00000124116	WFDC3	20	44376583	44420571	-1	protein_coding	140686	WFDC3	0.019237531618368	-0.038467389	0	0	9	4.3055e-07	1.56437e-45	GTEx/v8/Artery_Aorta	NA	No	NA	7.59e-14	rs73128528	23
ENSG00000132801	ZSWIM3	20	44486256	44507761	1	protein_coding	140831	ZSWIM3	0.00141328779660025	0.441992076	1	0.637	0	NA	NA	NA	NA	No	NA	1.095e-06	rs3918278	23
ENSG00000064601	CTSA	20	44518783	44527459	1	protein_coding	5476	CTSA	4.23467972299143e-05	-0.321842037	1	0.976	0	NA	NA	NA	NA	No	NA	0.003094	rs73128528	23
ENSG00000100979	PLTP	20	44527399	44540794	-1	protein_coding	5360	PLTP	0.000142042024392603	-0.314791094	2	10.71	1	1.15625e-05	4.53607e-13	GTEx/v8/Artery_Aorta	NA	No	NA	8.23e-14	rs73128528	23
ENSG00000100982	PCIF1	20	44563267	44576662	1	protein_coding	63935	PCIF1	0.999961615698865	-0.068938438	5	7.658	0	NA	NA	NA	NA	No	NA	7.59e-14	rs73128528	23
ENSG00000198026	ZNF335	20	44577292	44600833	-1	protein_coding	63925	ZNF335	0.00650300156857181	-0.437242092	8	7.658	0	NA	NA	NA	NA	No	NA	7.59e-14	rs73128528	23
ENSG00000100985	MMP9	20	44637547	44645200	1	protein_coding	4318	MMP9	2.78769685742866e-08	0.142851029	1	0.11	0	NA	NA	NA	NA	No	NA	5.008e-12	rs3918278	23
